Tweet Text
"U GO, GOES-U! The last in the series of 
@NOAA
's four advanced geostationary weather satellites lifted off from 
@NASAKennedy
 at 5:26pm ET."
"We have selected 
@SpaceX
 to develop and deliver the U.S. Deorbit Vehicle and prepare for a safe and responsible deorbit of the 
@Space_Station
 after the end of its operational life in 2030. Learn more: https://go.nasa.gov/3VYdkbj"
"Picture it: Astronauts living on the Moon or Mars in homes created from fungi.
 
This is the vision Lynn Rothschild has for future space habitats. We're supporting her team's research through our latest 
@NASA_Technology
 Innovative Advanced Concepts award: https://go.nasa.gov/3VXl6Cs"
"Stars, in your multitudes 
@NASAWebb
's newest image shows off the Serpens Nebula, 1,300 light-years from Earth. 

A dense cluster of young stars shines at the center—but the top-left corner features a phenomenon Webb is seeing for the first time: https://go.nasa.gov/4bcCV4H"
LIVE: We're discussing the results of our latest biennial tabletop exercise to simulate responses to a hypothetical asteroid impact threat. Tune in for more info on our findings and recommendations:
"Happy summer solstice! In the Northern Hemisphere, today marks the longest day of the year and the official start to summer. Check out our 
@Tumblr
 for ways to celebrate the season: https://go.nasa.gov/3XD0MHT"
"Juneteenth commemorates the day enslaved African Americans in Galveston, Texas learned of their freedom. This view from the 
@Space_Station
 shows the city and Galveston Bay: https://go.nasa.gov/4bY0Nu9"
Ed Dwight paved the way for a new generation of star sailors. He is a true hero and inspiration to us all. #BlackSpaceWeek
"41 years ago, Sally Ride became the first U.S. woman to go to space. 

Find a #SallysNight event with this 
@AirAndSpace
 guide and celebrate her legacy of encouraging students - especially girls - to pursue careers in science, math, and technology: https://airandspace.si.edu/sallys-night"
"Welcome to the #Artemis Accords, Armenia 

Armenia has joined 42 other nations that have committed to the peaceful and safe exploration of space as we explore the Moon, Mars, and beyond. https://go.nasa.gov/3VDqWJ1"
"Due to a spacesuit discomfort issue, today's spacewalk with 
@NASA_Astronauts
 Tracy C. Dyson and Matt Dominick at the 
@Space_Station
 will not be proceeding as scheduled. Visit our blog for updates as they become available: https://blogs.nasa.gov/spacestation/"
"Today’s spacewalk with 
@NASA_Astronauts
 Tracy C. Dyson and Matt Dominick will not be proceeding as scheduled. The crew has begun taking off their suits. We are standing by for more information and will share as we know it. More… http://go.nasa.gov/3Xj2Rbx"
